date,GDP
12/31/2015,18378.8
3/31/2016,18470.16
6/30/2016,18656.21
9/30/2016,18821.36
12/31/2016,19032.58
3/31/2017,19237.44
6/30/2017,19379.23
9/30/2017,19617.29
12/31/2017,19937.96
3/31/2018,20242.22
6/30/2018,20552.65
9/30/2018,20742.72
12/31/2018,20909.85
3/31/2019,21115.31
6/30/2019,21329.88
9/30/2019,21540.33
12/31/2019,21747.39
3/31/2020,21561.14
6/30/2020,19408.76
